muni_code,municipality,registered voters,envelopes,valid votes,Obèanská demokratická strana,Øád národa - Vlastenecká unie,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,Èeská str.sociálnì demokrat.,Radostné Èesko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Èech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných obèanù,Blok proti islam.-Obran.domova,Obèanská demokratická aliance,Èeská pirátská strana
534421,Bavorynì,Výsledky hlasování za územní celky – Obec Bavorynì – èást 1,Výsledky hlasování za územní celky – Obec Bavorynì – èást 2,239,151,150,18,0,0,6,0,8,7,5,2,4,0,0,16
531057,Beroun,Výsledky hlasování za územní celky – Obec Beroun – èást 1,Výsledky hlasování za územní celky – Obec Beroun – èást 2,14804,9145,9076,1 363,16,11,576,1,433,651,140,78,205,8,12,1 290
531073,Bìštín,Výsledky hlasování za územní celky – Obec Bìštín – èást 1,Výsledky hlasování za územní celky – Obec Bìštín – èást 2,262,158,157,27,2,0,21,0,2,11,3,3,3,1,0,12
531081,Broumy,Výsledky hlasování za územní celky – Obec Broumy – èást 1,Výsledky hlasování za územní celky – Obec Broumy – èást 2,743,491,489,62,1,0,35,2,20,54,6,5,8,0,0,76
531090,Bøezová,Výsledky hlasování za územní celky – Obec Bøezová – èást 1,Výsledky hlasování za územní celky – Obec Bøezová – èást 2,246,168,168,30,0,0,12,0,21,14,2,1,0,0,0,12
531103,Bubovice,Výsledky hlasování za územní celky – Obec Bubovice – èást 1,Výsledky hlasování za územní celky – Obec Bubovice – èást 2,372,270,269,44,2,0,8,0,10,11,4,0,6,0,0,50
534145,Bykoš,Výsledky hlasování za územní celky – Obec Bykoš – èást 1,Výsledky hlasování za územní celky – Obec Bykoš – èást 2,183,121,121,13,0,0,16,0,6,13,4,0,0,0,0,12
531120,Bzová,Výsledky hlasování za územní celky – Obec Bzová – èást 1,Výsledky hlasování za územní celky – Obec Bzová – èást 2,364,238,235,23,0,0,18,0,11,25,1,3,7,0,0,23
531138,Cerhovice,Výsledky hlasování za územní celky – Obec Cerhovice – èást 1,Výsledky hlasování za územní celky – Obec Cerhovice – èást 2,909,593,591,80,1,0,60,0,44,33,5,9,14,0,0,52
531154,Drozdov,Výsledky hlasování za územní celky – Obec Drozdov – èást 1,Výsledky hlasování za územní celky – Obec Drozdov – èást 2,604,420,418,58,0,0,41,0,25,58,5,3,4,0,0,37
531162,Felbabka,Výsledky hlasování za územní celky – Obec Felbabka – èást 1,Výsledky hlasování za územní celky – Obec Felbabka – èást 2,215,136,135,27,0,0,16,0,7,17,0,0,7,0,0,9
531171,Hlásná Tøebaò,Výsledky hlasování za územní celky – Obec Hlásná Tøebaò – èást 1,Výsledky hlasování za územní celky – Obec Hlásná Tøebaò – èást 2,759,578,572,114,1,0,17,2,48,23,12,5,11,1,2,95
531189,Hoøovice,Výsledky hlasování za územní celky – Obec Hoøovice – èást 1,Výsledky hlasování za územní celky – Obec Hoøovice – èást 2,5247,3110,3090,588,7,3,254,2,108,305,57,14,41,2,2,290
531201,Hostomice,Výsledky hlasování za územní celky – Obec Hostomice – èást 1,Výsledky hlasování za územní celky – Obec Hostomice – èást 2,1333,796,790,126,5,0,61,1,25,55,10,3,15,0,0,102
531219,Høedle,Výsledky hlasování za územní celky – Obec Høedle – èást 1,Výsledky hlasování za územní celky – Obec Høedle – èást 2,299,217,216,26,2,0,12,0,6,18,5,0,2,0,1,30
531227,Hudlice,Výsledky hlasování za územní celky – Obec Hudlice – èást 1,Výsledky hlasování za územní celky – Obec Hudlice – èást 2,978,663,658,82,2,0,52,0,18,133,11,6,11,0,0,63
531235,Hvozdec,Výsledky hlasování za územní celky – Obec Hvozdec – èást 1,Výsledky hlasování za územní celky – Obec Hvozdec – èást 2,213,155,154,21,0,0,13,0,11,26,2,2,4,0,0,11
531243,Hýskov,Výsledky hlasování za územní celky – Obec Hýskov – èást 1,Výsledky hlasování za územní celky – Obec Hýskov – èást 2,1335,879,868,139,1,0,62,1,42,54,15,7,19,2,1,119
531251,Chaloupky,Výsledky hlasování za územní celky – Obec Chaloupky – èást 1,Výsledky hlasování za územní celky – Obec Chaloupky – èást 2,423,298,294,58,0,2,21,0,11,32,5,1,6,2,0,26
534455,Chlustina,Výsledky hlasování za územní celky – Obec Chlustina – èást 1,Výsledky hlasování za územní celky – Obec Chlustina – èást 2,187,117,115,17,1,0,10,0,4,13,0,4,1,0,0,13
534447,Chodouò,Výsledky hlasování za územní celky – Obec Chodouò – èást 1,Výsledky hlasování za územní celky – Obec Chodouò – èást 2,501,339,337,57,1,0,37,0,19,23,8,4,2,0,0,52
533670,Chrustenice,Výsledky hlasování za územní celky – Obec Chrustenice – èást 1,Výsledky hlasování za územní celky – Obec Chrustenice – èást 2,709,512,508,86,2,2,20,0,34,29,8,4,15,2,2,83
531294,Chyòava,Výsledky hlasování za územní celky – Obec Chyòava – èást 1,Výsledky hlasování za územní celky – Obec Chyòava – èást 2,1438,916,914,139,2,0,65,0,29,77,14,5,21,0,3,121
531308,Jivina,Výsledky hlasování za územní celky – Obec Jivina – èást 1,Výsledky hlasování za územní celky – Obec Jivina – èást 2,153,92,92,11,0,2,4,0,1,10,2,1,1,0,0,4
531316,Karlštejn,Výsledky hlasování za územní celky – Obec Karlštejn – èást 1,Výsledky hlasování za územní celky – Obec Karlštejn – èást 2,668,448,446,85,3,0,27,0,19,36,4,1,11,0,1,73
531324,Komárov,Výsledky hlasování za územní celky – Obec Komárov – èást 1,Výsledky hlasování za územní celky – Obec Komárov – èást 2,1943,1185,1181,175,0,0,90,1,43,131,9,8,11,0,2,93
531332,Konìprusy,Výsledky hlasování za územní celky – Obec Konìprusy – èást 1,Výsledky hlasování za územní celky – Obec Konìprusy – èást 2,181,128,127,27,0,1,5,0,12,11,3,0,0,0,0,8
533793,Korno,Výsledky hlasování za územní celky – Obec Korno – èást 1,Výsledky hlasování za územní celky – Obec Korno – èást 2,90,69,69,11,0,0,11,0,4,7,1,0,0,0,0,9
534072,Kotopeky,Výsledky hlasování za územní celky – Obec Kotopeky – èást 1,Výsledky hlasování za územní celky – Obec Kotopeky – èást 2,236,136,133,8,0,0,9,0,5,8,2,1,1,0,0,10
533203,Králùv Dvùr,Výsledky hlasování za územní celky – Obec Králùv Dvùr – èást 1,Výsledky hlasování za územní celky – Obec Králùv Dvùr – èást 2,6238,3630,3605,668,6,1,230,1,209,242,36,18,101,1,12,473
531375,Kublov,Výsledky hlasování za územní celky – Obec Kublov – èást 1,Výsledky hlasování za územní celky – Obec Kublov – èást 2,525,348,346,53,2,0,23,2,13,36,4,3,6,0,0,34
533939,Lážovice,Výsledky hlasování za územní celky – Obec Lážovice – èást 1,Výsledky hlasování za územní celky – Obec Lážovice – èást 2,81,51,51,9,0,0,2,0,5,6,1,0,1,1,0,9
533335,Lhotka,Výsledky hlasování za územní celky – Obec Lhotka – èást 1,Výsledky hlasování za územní celky – Obec Lhotka – èást 2,271,165,164,23,0,0,10,1,7,13,2,2,0,0,0,16
531448,Libomyšl,Výsledky hlasování za územní celky – Obec Libomyšl – èást 1,Výsledky hlasování za územní celky – Obec Libomyšl – èást 2,423,266,266,38,0,0,5,1,6,29,4,5,1,0,2,43
531456,Liteò,Výsledky hlasování za územní celky – Obec Liteò – èást 1,Výsledky hlasování za územní celky – Obec Liteò – èást 2,880,517,513,43,0,0,37,1,21,28,5,4,19,0,0,62
531464,Lodìnice,Výsledky hlasování za územní celky – Obec Lodìnice – èást 1,Výsledky hlasování za územní celky – Obec Lodìnice – èást 2,1371,863,861,121,6,2,43,1,49,49,16,7,15,2,1,122
531472,Lochovice,Výsledky hlasování za územní celky – Obec Lochovice – èást 1,Výsledky hlasování za územní celky – Obec Lochovice – èást 2,925,546,541,52,0,0,33,0,21,58,6,3,11,0,1,73
534404,Lužce,Výsledky hlasování za územní celky – Obec Lužce – èást 1,Výsledky hlasování za územní celky – Obec Lužce – èást 2,95,56,56,3,0,0,7,0,5,4,1,0,0,0,0,7
533319,Malá Víska,Výsledky hlasování za územní celky – Obec Malá Víska – èást 1,Výsledky hlasování za územní celky – Obec Malá Víska – èást 2,81,59,58,10,0,0,3,0,1,8,0,1,2,0,0,4
534218,Málkov,Výsledky hlasování za územní celky – Obec Málkov – èást 1,Výsledky hlasování za územní celky – Obec Málkov – èást 2,100,76,76,5,0,0,4,0,1,6,5,0,0,0,0,13
531529,Mìòany,Výsledky hlasování za územní celky – Obec Mìòany – èást 1,Výsledky hlasování za územní celky – Obec Mìòany – èást 2,240,133,132,16,0,0,9,0,7,16,2,1,2,0,0,16
531537,Mezouò,Výsledky hlasování za územní celky – Obec Mezouò – èást 1,Výsledky hlasování za územní celky – Obec Mezouò – èást 2,434,329,327,57,2,2,7,0,25,9,4,3,2,1,0,42
531545,Moøina,Výsledky hlasování za územní celky – Obec Moøina – èást 1,Výsledky hlasování za územní celky – Obec Moøina – èást 2,617,412,410,84,1,0,28,0,25,27,1,2,10,1,1,48
533912,Moøinka,Výsledky hlasování za územní celky – Obec Moøinka – èást 1,Výsledky hlasování za územní celky – Obec Moøinka – èást 2,129,93,93,16,0,0,4,0,6,1,1,1,8,0,0,10
533602,Nenaèovice,Výsledky hlasování za územní celky – Obec Nenaèovice – èást 1,Výsledky hlasování za územní celky – Obec Nenaèovice – èást 2,197,146,146,12,0,0,4,0,7,14,2,4,4,0,0,16
534269,Nesvaèily,Výsledky hlasování za územní celky – Obec Nesvaèily – èást 1,Výsledky hlasování za územní celky – Obec Nesvaèily – èást 2,128,105,105,14,0,0,11,1,3,13,1,1,0,0,0,11
531588,Neumìtely,Výsledky hlasování za územní celky – Obec Neumìtely – èást 1,Výsledky hlasování za územní celky – Obec Neumìtely – èást 2,437,250,250,36,0,0,24,0,5,26,1,3,4,0,0,21
531596,Nižbor,Výsledky hlasování za územní celky – Obec Nižbor – èást 1,Výsledky hlasování za územní celky – Obec Nižbor – èást 2,1614,1038,1033,160,3,1,61,0,51,74,26,5,9,1,0,158
531600,Nový Jáchymov,Výsledky hlasování za územní celky – Obec Nový Jáchymov – èást 1,Výsledky hlasování za územní celky – Obec Nový Jáchymov – èást 2,540,354,350,43,1,1,24,0,7,36,6,4,9,0,2,33
531626,Olešná,Výsledky hlasování za územní celky – Obec Olešná – èást 1,Výsledky hlasování za územní celky – Obec Olešná – èást 2,343,227,225,23,1,1,21,0,5,20,1,3,2,0,1,24
531634,Osek,Výsledky hlasování za územní celky – Obec Osek – èást 1,Výsledky hlasování za územní celky – Obec Osek – èást 2,633,421,417,49,0,0,35,0,20,38,4,3,3,1,0,52
531642,Osov,Výsledky hlasování za územní celky – Obec Osov – èást 1,Výsledky hlasování za územní celky – Obec Osov – èást 2,290,202,199,26,1,0,15,0,9,16,4,1,1,0,0,30
534111,Otmíèe,Výsledky hlasování za územní celky – Obec Otmíèe – èást 1,Výsledky hlasování za územní celky – Obec Otmíèe – èást 2,142,107,105,12,0,0,4,0,3,9,0,1,4,0,0,21
531669,Otroèinìves,Výsledky hlasování za územní celky – Obec Otroèinìves – èást 1,Výsledky hlasování za územní celky – Obec Otroèinìves – èást 2,411,293,293,34,0,0,11,0,20,38,7,2,2,1,2,42
534285,Podbrdy,Výsledky hlasování za územní celky – Obec Podbrdy – èást 1,Výsledky hlasování za územní celky – Obec Podbrdy – èást 2,176,122,122,12,0,0,7,0,9,22,1,0,3,0,0,13
531685,Podluhy,Výsledky hlasování za územní celky – Obec Podluhy – èást 1,Výsledky hlasování za územní celky – Obec Podluhy – èást 2,535,337,334,44,0,0,32,0,12,41,3,5,2,0,0,39
